name,id,url,source,download_format,sf_compatible,browser_compatible,spatial_filtering,temporal_filtering,NEW_PROVIDER,NEW_PROVIDER_TYPE,provider_name,provider_type,environment,spatial_filtering_clean,temporal_filtering_clean,sf_compatible_clean,Cefas_holding_id_name,Cefas_holding_ID,Second level,Third Level,Fourth Level,Unnamed: 22,spatial_filter_type,epsg_code
Bluemel Et Al 2023 Seahorse Habitat Distribution CEFAS,cefas_12744_pdf,https://data-api.cefas.co.uk/api/recordsets/12744/data/1,https://data.cefas.co.uk/view/21660,pdf,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seahorse Species Predicted Habitat Distributions and Associated Environmental Data Layers Covering the Shelf Seas Surrounding the UK,12815,"Climate Change, Conservation & Human Impacts",Seahorse Species Predicted Habitat Distributions and Associated Environmental Data Layers Covering the Shelf Seas Surrounding the UK,,,,
C7699 Grid Scores Suitability Risk,cefas_11786_json,https://data-api.cefas.co.uk/api/recordsets/11786/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/21026,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Scores Representing Magallana Gigas (Pacific Oyster) Environmental Suitability and Introduction / Spread Risk for UK Waters Based on Data from 2013 to 2015.,11786,"Aquaculture, Shellfish & Fish Health",Scores Representing Magallana Gigas (Pacific Oyster) Environmental Suitability and Introduction / Spread Risk for UK Waters Based on Data from 2013 to 2015.,,,,
Candyfloss 2014 2015,cefas_9795_json,https://data-api.cefas.co.uk/api/recordsets/9795/data?page=1&resultsPerPage=200000,https://data.cefas.co.uk/view/18640,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Shelf Sea Biogeochemistry - CANDYFLOSS SmartBuoy,9795,Physical & Chemical Oceanography,Shelf Sea Biogeochemistry - CANDYFLOSS SmartBuoy,,,,
Candyfloss Ssb,cefas_9794_zip,https://data-api.cefas.co.uk/api/recordsets/9794/data/1,https://data.cefas.co.uk/view/18640,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Shelf Sea Biogeochemistry - CANDYFLOSS SmartBuoy,9794,Physical & Chemical Oceanography,Shelf Sea Biogeochemistry - CANDYFLOSS SmartBuoy,,,,
CEFAS Plankton Imager Data 2016 2019,cefas_11200_json,https://data-api.cefas.co.uk/api/recordsets/11200/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/20507,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Zooplankton Abundance Data Derived from the Plankton Imager System from the Western English Channel and Eastern Irish Sea from - 2016 to 2019,11200,Benthic & Planktonic Ecology,Zooplankton Abundance Data Derived from the Plankton Imager System from the Western English Channel and Eastern Irish Sea from - 2016 to 2019,,,,
CEFAS Seawater Temperature Data 1880 - 2014,cefas_11709_json,https://data-api.cefas.co.uk/api/recordsets/11709/data/1,https://data.cefas.co.uk/view/11422,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,"Seawater Temperature Records for the UK Shelf - ""All"" Cefas Seawater Temperature Data 1880 - 2014",12893,Physical & Chemical Oceanography,"Seawater Temperature Records for the UK Shelf - ""All"" Cefas Seawater Temperature Data 1880 - 2014",,,,
CEFAS SWTdata20170707source01,cefas_9677_json,https://data-api.cefas.co.uk/api/recordsets/9677/data?page=1&resultsPerPage=900000,https://data.cefas.co.uk/view/3232,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 01 - Cefas Coastal Temperature Network,9677,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 01 - Cefas Coastal Temperature Network,,,,
CEFAS SWTdata20170707source02,cefas_12952_json,https://data-api.cefas.co.uk/api/recordsets/12952/data?page=1&resultsPerPage=40000,https://data.cefas.co.uk/view/3233,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 02 - Cefas Fishing Survey System,12952,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 02 - Cefas Fishing Survey System,,,,
CEFAS SWTdata20170707source03,cefas_12951_json,https://data-api.cefas.co.uk/api/recordsets/12951/data?page=1&resultsPerPage=400000,https://data.cefas.co.uk/view/3234,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 03 - Cefas Oceanographic Archive,12951,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 03 - Cefas Oceanographic Archive,,,,
CEFAS SWTdata20170707source04,cefas_12950_json,https://data-api.cefas.co.uk/api/recordsets/12950/data?page=1&resultsPerPage=2700000,https://data.cefas.co.uk/view/3235,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 04 - Cefas Plankton Analysis System,12950,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 04 - Cefas Plankton Analysis System,,,,
CEFAS SWTdata20170707source05,cefas_12946_json,https://data-api.cefas.co.uk/api/recordsets/12946/data?page=1&resultsPerPage=22000,https://data.cefas.co.uk/view/3236,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 05 - Cefas Fisheries Ecology Research Programme,12946,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 05 - Cefas Fisheries Ecology Research Programme,,,,
CEFAS SWTdata20170707source06,cefas_12945_json,https://data-api.cefas.co.uk/api/recordsets/12945/data?page=1&resultsPerPage=2000000,https://data.cefas.co.uk/view/3237,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 06 - Cefas SmartBuoy Autonomous Monitoring Network,12945,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 06 - Cefas SmartBuoy Autonomous Monitoring Network,,,,
CEFAS SWTdata20170707source07,cefas_12943_json,https://data-api.cefas.co.uk/api/recordsets/12943/data?page=1&resultsPerPage=2000000,https://data.cefas.co.uk/view/3238,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 07 - Defra Strategic Wave Monitoring Network (WaveNet),12943,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 07 - Defra Strategic Wave Monitoring Network (WaveNet),,,,
